schema_name,table_name,column_name,data_type,column_comment,include_in_training,exclude_reason
public,gis_region_city,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,gis_region_city,region_name,character varying(50),行政区划名称,yes,
public,gis_region_city,region_code,character varying(20),行政区划编码,yes,
public,gis_region_county,id,integer,主键ID,yes,
public,gis_region_county,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,gis_region_county,region_name,character varying(60),行政区名称,yes,
public,gis_region_county,city,character varying(50),市级名称,yes,
public,gis_region_county,region_code,character varying(50),行政区编码,yes,
public,gis_region_population,id,bigint,主键ID,yes,
public,gis_region_population,region_id,bigint,区域ID,yes,
public,gis_region_population,city_population,double precision,城镇人口,yes,
public,gis_region_population,city_area,double precision,城镇面积,yes,
public,gis_region_population,city_quantity,double precision,城镇数量,yes,
public,gis_region_population,rural_population,double precision,农村人口,yes,
public,gis_region_population,rural_area,double precision,农村面积,yes,
public,gis_region_population,rural_quantity,double precision,农村数量,yes,
public,gis_region_population,year,bigint,年份,yes,
public,gis_region_population,create_by,bigint,创建人,yes,
public,gis_region_population,create_time,timestamp without time zone,创建时间,yes,
public,gis_region_population,update_by,bigint,修改人,yes,
public,gis_region_population,update_time,timestamp without time zone,修改时间,yes,
public,gis_region_population,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,gis_region_township,id,integer,主键ID,yes,
public,gis_region_township,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,gis_region_township,region_code,character varying(20),行政区划编码,yes,
public,gis_region_township,county,character varying(60),区县名称,yes,
public,gis_region_township,region_name,character varying(50),行政区划名称,yes,
public,gis_region_township,city,character varying(50),市级名称,yes,
public,gis_watershed_partition,id,bigint,主键ID,yes,
public,gis_watershed_partition,name,character varying(100),名称,yes,
public,gis_watershed_partition,name_alias,character varying(100),别名,yes,
public,gis_watershed_partition,area,double precision,面积：平方千米,yes,
public,gis_watershed_partition,remark,character varying(255),备注,yes,
public,gis_watershed_partition,code,character varying(100),编码,yes,
public,gis_watershed_partition,create_by,bigint,创建人,yes,
public,gis_watershed_partition,create_time,timestamp without time zone,创建时间,yes,
public,gis_watershed_partition,update_by,bigint,更新人,yes,
public,gis_watershed_partition,update_time,timestamp without time zone,更新时间,yes,
public,gis_watershed_partition,del_flag,character(1),删除标记: 0-未删除、1-已删除,yes,
public,gis_watershed_partition,geom,"geometry(MultiPolygon,4326)",图形,yes,
public,gis_watershed_partition,version,smallint,当前版本：从0开始递增,yes,
public,gis_watershed_partition_3,id,integer,主键ID,yes,
public,gis_watershed_partition_3,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,gis_watershed_partition_3,basin,character varying(50),流域,yes,
public,gis_watershed_partition_3,name,character varying(50),名称,yes,
public,gis_watershed_partition_3,area,double precision,面积：平方米,yes,
public,gis_watershed_partition_4,id,integer,主键ID,yes,
public,gis_watershed_partition_4,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,gis_watershed_partition_4,basin,character varying(50),流域,yes,
public,gis_watershed_partition_4,last_name,character varying(50),上一级流域名称,yes,
public,gis_watershed_partition_4,poly_area,double precision,多边形面积,yes,
public,gis_watershed_partition_4,name,character varying(50),名称,yes,
public,gis_watershed_partition_4,area,double precision,面积：平方米,yes,
public,gis_watershed_partition_4,section_name,character varying(50),对应断面名称,yes,
public,layer_boundary_enterprise,id,integer,主键ID,yes,
public,layer_boundary_enterprise,name,character varying,名称,yes,
public,layer_boundary_enterprise,code,character varying,编码,yes,
public,layer_boundary_enterprise,geom,"geometry(MultiLineString,4326)",空间几何数据,yes,
public,layer_boundary_park,id,integer,主键ID,yes,
public,layer_boundary_park,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,layer_boundary_park,name,character varying(28),名称,yes,
public,layer_boundary_park,code,character varying(50),编码,yes,
public,layer_boundary_park,name_part,character varying(255),分园名称,yes,
public,layer_boundary_park,region_name,character varying(100),行政区名称,yes,
public,layer_boundary_park,park_level,integer,园区级别：0-未知、1-国家级、2-省级、3-市级,yes,
public,layer_entity_process,id,bigint,主键,yes,
public,layer_entity_process,process_type,character varying(100),溯源查询类型：industrial-工业园区,yes,
public,layer_entity_process,layer_type,smallint,溯源查询类型：0-查询图层、1-静态图层...,yes,
public,layer_entity_process,layer_name_en,character varying(100),图层英文名称,yes,
public,layer_entity_process,layer_name_cn,character varying(150),图层中文名称,yes,
public,layer_entity_process,geom_type,character varying(50),图形类型：点、线、面,yes,
public,layer_entity_process,layer_level,smallint,图层层级：查询过程的级别,yes,
public,layer_entity_process,query_expand_mark,smallint,扩展查询标记：关联查询相关属性,yes,
public,layer_entity_process,remark,character varying(255),备注,yes,
public,layer_entity_relation,id,bigint,主键,yes,
public,layer_entity_relation,entity_code_1,character varying(100),要素编码1,yes,
public,layer_entity_relation,layer_name_1,character varying(100),图层名称1,yes,
public,layer_entity_relation,relation,character varying(50),关系名称,yes,
public,layer_entity_relation,entity_code_2,character varying(100),要素编码2,yes,
public,layer_entity_relation,layer_name_2,character varying(100),图层名称2,yes,
public,layer_entity_relation,create_date,timestamp without time zone,创建时间,yes,
public,layer_entity_relation,delete_mark,smallint,删除标志：0-正常、1-删除,yes,
public,layer_industrial_ghysgw,id,integer,主键ID,yes,
public,layer_industrial_ghysgw,geom,"geometry(MultiLineString,4326)",空间几何数据,yes,
public,layer_industrial_ghysgw,name,character varying(10),名称,yes,
public,layer_industrial_ghysgw,code,character varying(50),编码,yes,
public,layer_industrial_lsf,id,integer,主键ID,yes,
public,layer_industrial_lsf,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_industrial_lsf,name,character varying(10),名称,yes,
public,layer_industrial_lsf,code,character varying(50),编码,yes,
public,layer_industrial_xzysgw,id,integer,主键ID,yes,
public,layer_industrial_xzysgw,geom,"geometry(MultiLineString,4326)",空间几何数据,yes,
public,layer_industrial_xzysgw,name,character varying(10),名称,yes,
public,layer_industrial_xzysgw,code,character varying(50),编码,yes,
public,layer_industrial_yjf,id,integer,主键ID,yes,
public,layer_industrial_yjf,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_industrial_yjf,name,character varying(10),名称,yes,
public,layer_industrial_yjf,code,character varying(50),编码,yes,
public,layer_industrial_yjsgc,id,integer,主键ID,yes,
public,layer_industrial_yjsgc,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_industrial_yjsgc,x,double precision,X坐标,yes,
public,layer_industrial_yjsgc,y,double precision,Y坐标,yes,
public,layer_industrial_yjsgc,name,character varying(100),名称,yes,
public,layer_industrial_yjsgc,code,character varying(50),编码,yes,
public,layer_industrial_ysc,id,integer,主键ID,yes,
public,layer_industrial_ysc,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_industrial_ysc,x,double precision,X坐标,yes,
public,layer_industrial_ysc,y,double precision,Y坐标,yes,
public,layer_industrial_ysc,name,character varying(10),名称,yes,
public,layer_industrial_ysc,code,character varying(50),编码,yes,
public,layer_outlet_sewage,id,integer,主键ID,yes,
public,layer_outlet_sewage,x,double precision,X坐标,yes,
