table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,layer_reservoir_provincial_label,geom,USER-DEFINED,geometry,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,cc,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,gb,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,bas,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,name,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,period,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,type,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,wq,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,aheight,double precision,float8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,parea,double precision,float8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,ec,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,grade,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,length,double precision,float8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,mheight,double precision,float8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,sdtf,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,shrc,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,vol,double precision,float8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,featid,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,elemstime,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,elemetime,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,ecrm,integer,int4,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,wrid,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,wrgr,integer,int4,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,areacode,bigint,int8,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,changetype,integer,int4,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,changeatt,character varying,varchar,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_label,id,integer,int4,省控水库注记,layer_reservoir
public,layer_reservoir_provincial_合并,geom,USER-DEFINED,geometry,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,cc,character varying,varchar,省控水库,layer_reservoir
