list_name,table_name,column_name,source_comment,list_comment,match_status,issue
candidate_whitelist,gis_watershed_partition,name_alias,别名,别名,match,
candidate_whitelist,gis_watershed_partition,area,面积：平方千米,面积：平方千米,match,
candidate_whitelist,gis_watershed_partition,remark,备注,备注,match,
candidate_whitelist,gis_watershed_partition,code,编码,编码,match,
candidate_whitelist,gis_watershed_partition,create_by,创建人,创建人,match,
candidate_whitelist,gis_watershed_partition,create_time,创建时间,创建时间,match,
candidate_whitelist,gis_watershed_partition,update_by,更新人,更新人,match,
candidate_whitelist,gis_watershed_partition,update_time,更新时间,更新时间,match,
candidate_whitelist,gis_watershed_partition,del_flag,删除标记: 0-未删除、1-已删除,删除标记: 0-未删除、1-已删除,match,
candidate_whitelist,gis_watershed_partition,geom,图形,图形,match,
candidate_whitelist,gis_watershed_partition,version,当前版本：从0开始递增,当前版本：从0开始递增,match,
candidate_whitelist,gis_watershed_partition_3,basin,流域,流域,match,
candidate_whitelist,gis_watershed_partition_3,name,名称,名称,match,
candidate_whitelist,gis_watershed_partition_3,area,面积：平方米,面积：平方米,match,
candidate_whitelist,gis_watershed_partition_4,basin,流域,流域,match,
candidate_whitelist,gis_watershed_partition_4,last_name,上一级流域名称,上一级流域名称,match,
candidate_whitelist,gis_watershed_partition_4,name,名称,名称,match,
candidate_whitelist,gis_watershed_partition_4,area,面积：平方米,面积：平方米,match,
candidate_whitelist,gis_watershed_partition_4,section_name,对应断面名称,对应断面名称,match,
candidate_whitelist,layer_boundary_park,name_part,分园名称,分园名称,match,
candidate_whitelist,layer_boundary_park,region_name,行政区名称,行政区名称,match,
candidate_whitelist,layer_boundary_park,park_level,园区级别：0-未知、1-国家级、2-省级、3-市级,园区级别：0-未知、1-国家级、2-省级、3-市级,match,
candidate_whitelist,layer_entity_process,id,主键,主键,match,
candidate_whitelist,layer_entity_process,process_type,溯源查询类型：industrial-工业园区,溯源查询类型：industrial-工业园区,match,
candidate_whitelist,layer_entity_process,layer_type,溯源查询类型：0-查询图层、1-静态图层...,溯源查询类型：0-查询图层、1-静态图层...,match,
candidate_whitelist,layer_entity_process,layer_name_en,图层英文名称,图层英文名称,match,
candidate_whitelist,layer_entity_process,layer_name_cn,图层中文名称,图层中文名称,match,
candidate_whitelist,layer_entity_process,geom_type,图形类型：点、线、面,图形类型：点、线、面,match,
candidate_whitelist,layer_entity_process,layer_level,图层层级：查询过程的级别,图层层级：查询过程的级别,match,
candidate_whitelist,layer_entity_process,query_expand_mark,扩展查询标记：关联查询相关属性,扩展查询标记：关联查询相关属性,match,
candidate_whitelist,layer_entity_process,remark,备注,备注,match,
candidate_whitelist,layer_entity_relation,id,主键,主键,match,
candidate_whitelist,layer_entity_relation,entity_code_1,要素编码1,要素编码1,match,
candidate_whitelist,layer_entity_relation,layer_name_1,图层名称1,图层名称1,match,
candidate_whitelist,layer_entity_relation,relation,关系名称,关系名称,match,
candidate_whitelist,layer_entity_relation,entity_code_2,要素编码2,要素编码2,match,
candidate_whitelist,layer_entity_relation,layer_name_2,图层名称2,图层名称2,match,
candidate_whitelist,layer_entity_relation,create_date,创建时间,创建时间,match,
candidate_whitelist,layer_entity_relation,delete_mark,删除标志：0-正常、1-删除,删除标志：0-正常、1-删除,match,
candidate_whitelist,layer_outlet_sewage,jcdbh,监测点编号,监测点编号,match,
candidate_whitelist,layer_partition_2,name,分区名称,分区名称,match,
candidate_whitelist,layer_partition_2,name_1,一级分区名称,一级分区名称,match,
candidate_whitelist,layer_partition_2,area,面积,面积,match,
candidate_whitelist,layer_partition_3,name,分区名称,分区名称,match,
candidate_whitelist,layer_partition_3,name_2,二级分区名称,二级分区名称,match,
candidate_whitelist,layer_partition_3,name_1,一级分区名称,一级分区名称,match,
candidate_whitelist,layer_partition_3,area,面积,面积,match,
candidate_whitelist,metadata_view,name,关键字或文件名(不含后缀),关键字或文件名(不含后缀),match,
candidate_whitelist,metadata_view,create_date,创建时间,创建时间,match,
candidate_whitelist,metadata_view,table_name,表名,表名,match,
candidate_whitelist,min_value_setting,id,主键id,主键id,match,
candidate_whitelist,min_value_setting,indicator_code,监测指标编号,监测指标编号,match,
